event_id_cnty,event_date,event_type,country,admin1,admin2,admin3,latitude,longitude,fatalities
MZM1714,2020-08-30,Battles,Mozambique,"Cabo Delgado",Muidumbe,Chitunda,-11.8511,40.0761,3
MZM1715,2020-08-30,"Violence against civilians",Mozambique,Sofala,Chibabava,Muxungue,-20.4628,33.8967,0
MZM1736,2020-08-29,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,0
MZM1778,2020-08-29,"Strategic developments",Mozambique,"Cabo Delgado",Muidumbe,Muidumbe,-11.7878,39.9144,0
MZM1713,2020-08-28,"Violence against civilians",Mozambique,"Cabo Delgado",Pemba,Pemba,-12.9733,40.5176,9
MZM1701,2020-08-28,Protests,Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,0
MZM1735,2020-08-28,"Strategic developments",Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,0
MZM1718,2020-08-27,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia",Mbau,-11.5892,40.1931,9
MZM1700,2020-08-27,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,0
MZM1699,2020-08-26,Protests,Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,0
MZM1712,2020-08-26,"Strategic developments",Mozambique,"Cabo Delgado",Macomia,Mucojo,-11.9986,40.5380,0
MZM1698,2020-08-25,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1885,2020-08-25,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM1696,2020-08-24,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,0
MZM1697,2020-08-23,"Strategic developments",Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1694,2020-08-21,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.4224,40.5251,4
MZM1695,2020-08-21,"Strategic developments",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.4224,40.5251,0
MZM1692,2020-08-20,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1691,2020-08-20,"Strategic developments",Mozambique,Sofala,Gorongosa,Gorongosa,-18.6792,34.0728,0
MZM1689,2020-08-19,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Chai,-11.9358,39.9847,2
MZM1690,2020-08-19,Protests,Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1693,2020-08-16,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Macomia,-12.2467,40.1208,2
MZM1687,2020-08-15,"Violence against civilians",Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,0
MZM1733,2020-08-15,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM1688,2020-08-15,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Macomia,-12.2467,40.1208,1
MZM1686,2020-08-15,"Strategic developments",Mozambique,Sofala,"Cidade Da Beira","Cidade Da Beira",-19.8436,34.8389,0
MZM1684,2020-08-13,"Violence against civilians",Mozambique,Maputo,Boane,Boane,-26.0423,32.3302,0
MZM1685,2020-08-13,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3105,40.3967,40
MZM1726,2020-08-12,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM1711,2020-08-12,"Violence against civilians",Mozambique,"Cabo Delgado",Palma,Olumbi,-10.9931,40.4739,0
MZM1683,2020-08-11,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,9
MZM1681,2020-08-10,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,9
MZM1682,2020-08-10,Riots,Mozambique,Tete,Tete,Tete,-16.1564,33.5867,1
MZM1679,2020-08-10,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,55
MZM1680,2020-08-10,Battles,Mozambique,"Cabo Delgado",Macomia,Chai,-11.9319,40.1103,4
MZM1677,2020-08-09,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,9
MZM2252,2020-08-09,"Violence against civilians",Mozambique,"Maputo City",Maputo,Maputo,-25.9655,32.5832,0
MZM1710,2020-08-08,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.4424,40.1612,0
MZM1674,2020-08-08,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Chai,-11.8966,40.1097,5
MZM1672,2020-08-08,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,9
MZM1676,2020-08-08,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3105,40.3967,0
MZM1675,2020-08-08,"Violence against civilians",Mozambique,"Cabo Delgado",Macomia,Mucojo,-12.0565,40.4946,2
MZM2495,2020-08-08,"Violence against civilians",Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,0
MZM1671,2020-08-07,"Violence against civilians",Mozambique,Sofala,Chibabava,Muxungue,-20.5855,33.8448,1
MZM1669,2020-08-07,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia",Diaca,-11.5096,40.0314,0
MZM1668,2020-08-07,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3905,40.3822,0
MZM1670,2020-08-07,Battles,Mozambique,"Cabo Delgado","Mocimboa da Praia","Mocimboa da Praia",-11.3460,40.3522,8
