id,Country,Region,District,Postos,Postos_INE,Urbanization Status,Cluster Area (from IEP),Cluster Area in km2,Population (from IEP),Population 2025,Population density,Population within 20 km,Buildings (from IEP),Buildings,Distance from MV power lines,Distance from nearest mini-grid,Nightlight (from IEP),Night lights intensity,Electrification status nightlights,Electrification status (IEP study),Least-cost electrification mode (IEP results),Least-cost elec. New Capacity (kW),Least-cost elec. Generating Cost ($/kWh),Relative Wealth Index,Percentage of food-insecure people,Livelihoods,Conflict fatalities nearby,Cyclone hazard (1 in 100 years wind speed),Elevation,Mean temperature,Mean diurnal temperature range,Cooling Degree Days Cold Room at 4C,Hot days (>30C) in a year,Relative humidity,Precipitation,Aridity Index,Climate class,Solar PV Output (kWh/year per installed kW),Cropland area ha,Cropland percentage of Influence area,Permanent water area (ha) within 10 km,Distance from coastlines,Travel time airports,Travel time ports,Travel time cities,Travel time capital,Travel time railway stations,Export Market Accessibility,National Market Accessibility,Fresh Markets Accessibility,Farming Activity,Ag Cooling Demand Export Market,Ag Cooling Demand National Market,Ag Cooling Demand Fresh Markets,Ag Cooling Demand ALL Markets,Banana production,Cassava production,Citrus production,Cashew Nut production,Cotton production,Maize production,Other Roots & Tubers production,Plantain production,Potato production,Rice production,Sorghum production,Sugarcane production,Sweet Potato production,Temperate Fruit production,Tobacco production,Tropical Fruit production,Vegetables production,Tomato production,Fishing Activity (marine + inland),Fishing type,Fish Cooling Demand Export Market,Fish Cooling Demand National Market,Fish Cooling Demand Fresh Markets,Fish Cooling Demand ALL Markets,Fresh Markets Accessibility - class,National Market Accessibility - class,Export Market Accessibility - class,Ag Cooling Demand ALL Markets - class,Fish Cooling Demand ALL Markets - class,Cooling_potential,Ground_Survey,Staple_Crop Production (t/y),Perishable_Crop Production (t/y),Cash Crop Production (t/y),PUE_potential
759005,Mozambique,ZAMBEZIA,NICOADALA,MAQUIVAL,Maquival,Low Density Rural,1.076,0.98,300.939,304,310,5863,713,713,99.94,68.163,0,0.3,likely electrified,99,3,3.183,0.955,-0.6,,North-Central Coastal Fishing,0,144,7,25.1,1,7702,40,78,1008,0.71,"Aw   Tropical, savannah",2053,144.654,10.863,2399.7,1.2,1,0.7,7.1,21.8,1,0.666,0.366,0.146,0.091,0.46,0.31,0.206,0.322,368.4,566.2,18.5,572,0.2,219.1,0.4,0,0,7.6,12.8,0,57.3,36.2,32.6,99.4,12.9,36.9,0.88,marine,0.814,0.66,0.516,0.674,Low,High,Very High,High,Very High,Very High,No,1231.8,1140.8,181.3,Very High
768820,Mozambique,ZAMBEZIA,NAMACURRA,MACUZE,Macuse,Low Density Rural,0.531,0.484,240.506,240,495,1497,607,607,97.696,73.666,0,0.2,likely electrified,99,3,2.546,0.956,-0.6,0.3,North-Central Coastal Fishing,0,144,11,25.1,1,7702,23,78,923,0.72,"Aw   Tropical, savannah",2055,61.615,13.532,1832,0.3,1.2,0.9,6.9,21.9,1.1,0.651,0.362,0.134,0.11,0.462,0.318,0.209,0.327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.97,marine,0.856,0.705,0.555,0.717,Low,High,Very High,High,Very High,Very High,No,0,0,0,Very High
870407,Mozambique,ZAMBEZIA,MAGANJA DA COSTA,BAJONE,Bajone,Rural Clusters,2.044,1.879,1589.05,1607,855,126635,382,382,115.435,15.396,0,0.2,likely electrified,99,10,49.962,0.01,-0.5,,North-Central Coastal Fishing,0,148,25,25.1,0.9,7702,15,79,926,0.78,"Aw   Tropical, savannah",1994,233.341,6.716,1821,16,4.4,5.3,4.1,25,5.2,0.338,0.35,0.557,0.061,0.269,0.286,0.384,0.309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.852,inland,0.615,0.637,0.707,0.663,Very High,High,Low,High,Very High,Very High,No,0,0,0,Very High
870449,Mozambique,ZAMBEZIA,MAGANJA DA COSTA,BAJONE,Bajone,Rural Clusters,0.691,0.635,559.356,579,911,127388,105,105,115.178,16.564,0,0.2,likely electrified,99,10,17.587,0.01,-0.5,,North-Central Coastal Fishing,0,148,19,25.1,0.9,7702,15,79,926,0.78,"Aw   Tropical, savannah",1991,240.123,14.877,1291.5,17,4.5,5.4,4,25.2,5.4,0.327,0.347,0.561,0.127,0.298,0.318,0.416,0.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.746,inland,0.55,0.579,0.656,0.604,Very High,High,Low,High,Very High,Very High,No,0,0,0,Very High
1014375,Mozambique,NAMPULA,ANGOCHE,BOILA_NAMITORIA,Boila-Nametoria,Low Density Rural,0.165,0.154,91.558,92,597,220841,156,156,12.899,35.742,0,0.2,likely electrified,99,3,0.978,0.965,-0.7,,North-Central Coastal Fishing,0,164,8,25.6,1,7884,65,78,935,0.52,"Aw   Tropical, savannah",2037,7.194,0.106,2365.3,2.2,4.7,10.8,3.6,30.6,4.1,0.225,0.321,0.86,0.001,0.188,0.25,0.507,0.312,112.7,394.8,45.4,2142.7,116.4,66.3,0.7,0,0,28.2,19.2,0,50.1,120.8,75.5,51,39.9,111.9,0.78,marine,0.524,0.595,0.832,0.66,Very High,Medium,Low,High,Very High,Very High,No,672,770,403.6,Very High
1024176,Mozambique,NAMPULA,ANGOCHE,CIDADE DE ANGOCHE,Cidade De Angoche,Urban Centre,10.054,9.394,194670.645,194787,20734,218364,22069,22069,0.497,49.223,13.401,2.3,electrified,1,1,3669.686,0.1,0,,North-Central Coastal Fishing,1,160,17,25.5,1,7848,65,78,935,0.52,"Aw   Tropical, savannah",2091,36.465,0.467,2417.4,1.7,3.5,9.6,2.4,29.3,2.9,0.299,0.384,0.864,0.005,0.227,0.283,0.509,0.337,71.3,219.5,22.4,853.4,47.6,32.6,0.4,0,0,16.1,10.3,0,27.4,52.8,28.4,32.2,17,34.6,0.83,marine,0.591,0.652,0.857,0.711,Very High,High,Low,High,Very High,Very High,No,377.6,420.6,178,Very High
1066325,Mozambique,CABO DELGADO,PEMBA,METUGE,Metuge-Sede,Low Density Rural,0.13,0.125,146.883,147,1176,347956,158,158,6.85,77.383,0,0.2,likely electrified,99,3,1.587,0.955,-0.2,0.25,North-Central Coastal Fishing,14,113,11,25.5,1,7848,131,77,1143,0.46,"Aw   Tropical, savannah",2054,117.682,5.005,97.4,1.7,0.7,12.5,4.1,32.2,4.1,0.272,0.341,0.961,0.044,0.234,0.281,0.572,0.361,0,297.8,49.9,1197.4,251.8,4115.5,0.6,0,0,89.3,60,0,34.1,172.3,86,44.8,49.3,137,0.83,marine,0.576,0.629,0.905,0.715,Very High,High,Low,High,Very High,Very High,No,4597.3,598.9,604.2,Very High
1069353,Mozambique,CABO DELGADO,PEMBA,METUGE,Metuge-Sede,Low Density Rural,0.224,0.217,157.312,157,724,266606,164,164,9.633,79.836,0,0.2,likely electrified,99,3,1.673,0.94,-0.2,0.25,North-Central Coastal Fishing,0,113,5,25.6,1,7884,131,77,1143,0.43,"Aw   Tropical, savannah",2088,39.861,1.513,105.9,0.4,0.7,13.1,4.7,32.8,4.7,0.248,0.316,0.956,0.013,0.207,0.254,0.557,0.337,0,197.3,32.2,772.1,164.8,2707.4,0.4,0,0,60.2,40,0,22.2,110.4,55.6,29.2,31.5,87.4,0.96,marine,0.637,0.687,0.969,0.777,Very High,Medium,Low,High,Very High,Very High,No,3027.5,391,391.5,Very High
1069354,Mozambique,CABO DELGADO,PEMBA,METUGE,Metuge-Sede,Rural Clusters,0.566,0.546,539.501,540,988,308941,774,774,9.682,79.913,0,0.2,likely electrified,99,8,32.407,0.931,,0.25,North-Central Coastal Fishing,14,113,15,25.6,1,7884,131,77,1143,0.44,"Aw   Tropical, savannah",2078,284.832,8.865,104.9,0.8,1,12.8,4.4,32.6,4.4,0.253,0.325,0.958,0.08,0.245,0.293,0.59,0.375,0,197.3,32.2,772.1,164.8,2707.4,0.4,0,0,60.2,40,0,22.2,110.4,55.6,29.2,31.5,87.4,0.92,marine,0.618,0.67,0.95,0.758,Very High,Medium,Low,High,Very High,Very High,No,3027.5,391,391.5,Very High
1070482,Mozambique,NAMPULA,C. ILHA DE MOÇAMBIQUE,LUMBO,Lumbo,Low Density Rural,0.402,0.381,136.197,136,356,67374,333,333,49.768,76.604,0,0.2,likely electrified,99,3,1.433,0.951,-0.3,,North-Central Coastal Fishing,0,155,8,25.4,1,7811,1,80,935,0.45,"Aw   Tropical, savannah",2068,202.644,8.672,223.3,2,1.5,10.1,1.8,29.8,0.9,0.376,0.347,0.392,0.076,0.304,0.298,0.319,0.303,70.1,3079.3,23,452.6,42.6,508.9,2.8,0,0,0.3,27.9,0,30,47.3,17,25.3,16.2,38.3,0.8,marine,0.614,0.614,0.605,0.621,High,High,Medium,High,Very High,Very High,No,3719.3,3271,148.4,Very High
