id,Country,Region,District,Postos,Postos_INE,Urbanization Status,Cluster Area (from IEP),Cluster Area in km2,Population (from IEP),Population 2025,Population density,Population within 20 km,Buildings (from IEP),Buildings,Distance from MV power lines,Distance from nearest mini-grid,Nightlight (from IEP),Night lights intensity,Electrification status nightlights,Electrification status (IEP study),Least-cost electrification mode (IEP results),Least-cost elec. New Capacity (kW),Least-cost elec. Generating Cost ($/kWh),Relative Wealth Index,Percentage of food-insecure people,Livelihoods,Conflict fatalities nearby,Cyclone hazard (1 in 100 years wind speed),Elevation,Mean temperature,Mean diurnal temperature range,Cooling Degree Days Cold Room at 4C,Hot days (>30C) in a year,Relative humidity,Precipitation,Aridity Index,Climate class,Solar PV Output (kWh/year per installed kW),Cropland area ha,Cropland percentage of Influence area,Permanent water area (ha) within 10 km,Distance from coastlines,Travel time airports,Travel time ports,Travel time cities,Travel time capital,Travel time railway stations,Export Market Accessibility,National Market Accessibility,Fresh Markets Accessibility,Farming Activity,Ag Cooling Demand Export Market,Ag Cooling Demand National Market,Ag Cooling Demand Fresh Markets,Ag Cooling Demand ALL Markets,Banana production,Cassava production,Citrus production,Cashew Nut production,Cotton production,Maize production,Other Roots & Tubers production,Plantain production,Potato production,Rice production,Sorghum production,Sugarcane production,Sweet Potato production,Temperate Fruit production,Tobacco production,Tropical Fruit production,Vegetables production,Tomato production,Fishing Activity (marine + inland),Fishing type,Fish Cooling Demand Export Market,Fish Cooling Demand National Market,Fish Cooling Demand Fresh Markets,Fish Cooling Demand ALL Markets,Fresh Markets Accessibility - class,National Market Accessibility - class,Export Market Accessibility - class,Ag Cooling Demand ALL Markets - class,Fish Cooling Demand ALL Markets - class,Cooling_potential,Ground_Survey,Staple_Crop Production (t/y),Perishable_Crop Production (t/y),Cash Crop Production (t/y),PUE_potential
290785,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.243,0.227,166.45,166,731,163728,308,308,95.353,129.937,0,0.2,likely electrified,99,3,1.849,0.982,-0.4,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1101,20.3,1.2,5950,26,66,879,0.57,"Cwa  Temperate, dry winter, hot summer",2005,66.581,31.444,0,469,1.1,4.3,10.6,25.7,3.7,0.471,0.298,0.612,0.252,0.335,0.254,0.405,0.329,0,315.4,36.4,0,2.1,2072.1,2.5,0,2643.1,0.2,94.9,0,253.7,59.2,77.1,37,31.7,94.2,,none,,,,,Very High,Medium,High,High,None,High,No,5381.9,3342.6,207.1,None
290812,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.276,0.258,175.033,184,711,262513,193,193,95.356,128.494,0,0.2,likely electrified,99,3,1.943,0.981,-0.6,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1130,20.1,1.2,5877,26,66,879,0.58,"Cwa  Temperate, dry winter, hot summer",2006,235.514,30.642,0,470.9,1,4.2,10.5,25.6,3.7,0.477,0.345,0.899,0.252,0.334,0.274,0.535,0.38,0,315.4,36.4,0,2.1,2072.1,2.5,0,2643.1,0.2,94.9,0,253.7,59.2,77.1,37,31.7,94.2,,none,,,,,Very High,High,High,High,None,High,No,5381.9,3342.6,207.1,None
290885,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.191,0.179,137.252,137,766,303859,192,192,98.587,127.086,0,0.2,likely electrified,99,3,1.525,0.982,-0.5,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1195,19.8,1.2,5767,26,66,879,0.59,"Cwa  Temperate, dry winter, hot summer",2005,205.845,31.366,0,474.7,0.9,4.2,10.5,25.6,3.9,0.475,0.345,0.899,0.257,0.329,0.27,0.532,0.376,0,662,78.3,0,4.3,4508.3,6,0,5860,0.4,209.5,0,564.9,124.9,161.5,80.6,68,201.9,,none,,,,,Very High,High,High,High,None,High,No,11811.1,7366.4,439.3,None
291056,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Dense Urban Clusters,3.803,3.563,21937.382,21937,6156,385738,5311,5311,110.048,121.92,4.027,1.1,electrified,1,1,394.508,0.1,-0.1,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1318,19.4,1.1,5621,4,69,1359,0.6,"Cwa  Temperate, dry winter, hot summer",1998,295.696,17.058,0,490.3,0.8,4.4,10.7,25.8,4.2,0.465,0.336,0.897,0.146,0.256,0.199,0.471,0.305,0,482.4,62.3,0,4.5,319.8,1.1,0,4554.1,0.3,81,0,265.2,111.2,139.8,40.1,51.2,144.4,,none,,,,,Very High,Medium,High,High,None,High,No,5703.9,5505.3,346.8,None
293740,Mozambique,TETE,MOATIZE,ZOBUE,Zóbue,Low Density Rural,0.227,0.21,34.175,34,161,11741,159,159,70.281,99.857,0,0.2,likely electrified,99,3,0.383,0.99,-0.5,,Central Semiarid Cotton and Minerals,0,68,322,25.6,1.2,7884,116,66,1153,0.43,"Aw   Tropical, savannah",1986,366.954,13.785,0,394.8,2.5,2.6,8.8,24,2,0.524,0.285,0.148,0.122,0.412,0.295,0.231,0.309,0,30.1,25.4,0,0.3,3492.1,6.8,0,0,0,57.8,0,280.4,41.8,9.4,26,20,54.6,,none,,,,,Low,Medium,High,High,None,High,No,3867.2,405.1,97.5,None
293929,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.159,0.149,75.28,75,504,90430,138,138,94.058,136.1,0,0.2,likely electrified,99,3,0.835,0.98,-0.9,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1087,20.6,1.2,6059,34,66,953,0.57,"Cwa  Temperate, dry winter, hot summer",2008,233.161,33.399,0,460.2,1,4,10.2,25.3,3.3,0.494,0.281,0.384,0.274,0.366,0.263,0.315,0.311,0,455.2,65.4,0,2.9,5167.8,6.1,0,2955.7,0.4,214.4,0,511.1,111.1,113.4,56.2,51.2,150.1,,none,,,,,High,Low,High,High,None,High,No,9310.7,4146.6,334.8,None
294001,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.159,0.149,147.262,147,988,111507,125,125,95.328,132.337,0,0.2,likely electrified,99,3,1.635,0.981,-0.6,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1086,20.5,1.2,6022,30,66,916,0.57,"Cwa  Temperate, dry winter, hot summer",2006,247.444,30.66,0,465.8,0.9,4.1,10.4,25.5,3.5,0.489,0.284,0.448,0.252,0.349,0.251,0.332,0.307,0,555.9,67.4,0,3.7,4367.7,4.5,0,4161.1,0.4,179.7,0,464.1,114.1,137.4,61.7,56.1,165.8,,none,,,,,High,Medium,High,High,None,High,No,9733.4,5417.5,373,None
294307,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Suburban or Peri Urban,0.502,0.47,730.025,730,1552,325992,464,464,110.162,124.389,0.326,0.2,likely electrified,1,1,13.128,0.1,-0.1,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1297,19.5,1.1,5658,4,69,1359,0.59,"Cwa  Temperate, dry winter, hot summer",1996,96.421,34.59,0,486.9,0.8,4.4,10.7,25.8,4.2,0.465,0.336,0.897,0.279,0.329,0.271,0.535,0.377,0,863.2,110,0,6.8,3095,5.4,0,8408.3,0.5,210.1,0,625.7,184.4,233.3,91.3,92.4,265.9,,none,,,,,Very High,Medium,High,High,None,High,No,13208.2,10270.7,608.2,None
294314,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Suburban or Peri Urban,0.172,0.161,1165.535,1166,7231,333197,122,122,110.786,122.828,2.254,1.2,electrified,1,1,20.96,0.1,0.7,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1320,19.4,1.1,5621,4,69,1359,0.6,"Cwa  Temperate, dry winter, hot summer",1997,33.532,28.829,0,489.6,0.8,4.4,10.6,25.8,4.2,0.465,0.338,0.898,0.231,0.301,0.244,0.511,0.35,0,482.4,62.3,0,4.5,319.8,1.1,0,4554.1,0.3,81,0,265.2,111.2,139.8,40.1,51.2,144.4,,none,,,,,Very High,Medium,High,High,None,High,No,5703.9,5505.3,346.8,None
294316,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.168,0.158,185.41,185,1174,326304,222,222,112.143,123.745,0.591,0.3,likely electrified,99,10,1.243,0.01,-0.5,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1304,19.5,1.1,5658,4,69,1359,0.6,"Cwa  Temperate, dry winter, hot summer",1997,42.074,30.367,0,489.5,0.9,4.5,10.8,25.9,4.3,0.457,0.331,0.897,0.243,0.305,0.249,0.518,0.356,0,482.4,62.3,0,4.5,319.8,1.1,0,4554.1,0.3,81,0,265.2,111.2,139.8,40.1,51.2,144.4,,none,,,,,Very High,Medium,High,High,None,High,No,5703.9,5505.3,346.8,None
296940,Mozambique,TETE,MOATIZE,ZOBUE,Zóbue,Very Low Density Rural,0.153,0.142,24.42,24,169,12391,101,101,72.275,100.477,0,0.2,likely electrified,99,3,0.273,0.988,-0.6,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,68,314,25.6,1.2,7884,116,66,1153,0.45,"Aw   Tropical, savannah",1989,134.206,29.294,0,394,2.4,2.5,8.7,23.8,1.8,0.536,0.292,0.151,0.238,0.48,0.358,0.286,0.374,0,272.7,60.9,0,6.3,5276.6,4.6,0,0,0.4,115.4,0,422.4,169.2,68.8,37,56,148.8,,none,,,,,Low,Medium,High,High,None,High,No,6092.1,961.9,337.3,None
296947,Mozambique,TETE,MOATIZE,ZOBUE,Zóbue,Low Density Rural,1.624,1.505,174.478,174,115,16277,728,728,73.315,102.861,0,0.2,likely electrified,99,3,1.949,0.987,-0.4,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,68,330,25.5,1.2,7848,116,66,1153,0.46,"Aw   Tropical, savannah",1990,517.022,28.453,0,395.9,2.6,2.6,8.9,24,2,0.521,0.284,0.162,0.244,0.473,0.355,0.292,0.372,0,272.7,60.9,0,6.3,5276.6,4.6,0,0,0.4,115.4,0,422.4,169.2,68.8,37,56,148.8,,none,,,,,Low,Medium,High,High,None,High,No,6092.1,961.9,337.3,None
296949,Mozambique,TETE,MOATIZE,ZOBUE,Zóbue,Very Low Density Rural,0.385,0.357,32.94,33,92,16110,278,278,75.055,104.947,0,0.2,likely electrified,99,3,0.368,0.987,-0.3,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,67,330,25.5,1.2,7848,116,66,1153,0.46,"Aw   Tropical, savannah",1990,495.74,17.304,0,397,2.7,2.8,9,24.1,2.1,0.51,0.279,0.16,0.155,0.419,0.306,0.25,0.322,0,584.8,131.7,0,12.5,11276.3,9.5,0,0,0.8,237,0,874.6,364.5,146.5,75.4,121.2,322.4,,none,,,,,Low,Low,High,High,None,High,No,12983,2030,720.1,None
297189,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.701,0.655,332.89,333,508,103746,572,572,95.572,136.025,0,0.2,likely electrified,99,3,3.695,0.981,-0.6,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1088,20.6,1.2,6059,34,66,953,0.57,"Cwa  Temperate, dry winter, hot summer",2006,329.512,30.955,0,461.1,1,4,10.3,25.4,3.4,0.49,0.283,0.425,0.257,0.355,0.255,0.326,0.308,0,480.5,66.6,0,3,5153.9,5.6,0,3276.4,0.4,208.6,0,505.3,112.7,119,56.9,51.8,153.2,,none,,,,,High,Medium,High,High,None,High,No,9630.7,4489.2,343.4,None
297240,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.106,0.099,73.654,74,744,113869,103,103,97.589,134.921,0,0.2,likely electrified,99,3,0.818,0.982,-0.5,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1061,20.9,1.2,6168,34,66,953,0.57,"Cwa  Temperate, dry winter, hot summer",2005,305.237,31.535,0,463.6,1.2,4.5,10.8,25.9,3.9,0.458,0.267,0.452,0.261,0.346,0.256,0.346,0.313,0,480.5,66.6,0,3,5153.9,5.6,0,3276.4,0.4,208.6,0,505.3,112.7,119,56.9,51.8,153.2,,none,,,,,High,Low,High,High,None,High,No,9630.7,4489.2,343.4,None
297574,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.091,0.085,93.69,94,1105,325274,151,151,108.733,126.225,0,0.2,likely electrified,99,3,1.045,0.986,-0.5,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1216,20,1.2,5840,26,66,879,0.58,"Cwa  Temperate, dry winter, hot summer",1996,113.107,34.973,0,483.2,1.2,4.9,11.2,26.3,4.5,0.432,0.314,0.893,0.282,0.323,0.271,0.544,0.379,0,380.8,47.7,0,2.3,2775.2,4.3,0,3854.2,0.2,129.1,0,360.5,73.2,93.5,51.2,41.2,121.5,,none,,,,,Very High,Medium,Medium,High,None,High,No,7504.3,4765.4,261.4,None
297584,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Rural Clusters,1.083,1.014,991.455,997,982,330535,989,989,110.598,126.008,0,0.2,likely electrified,99,10,31.865,0.01,0,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1283,19.6,1.1,5694,4,69,1359,0.59,"Cwa  Temperate, dry winter, hot summer",1996,216.581,32.753,0,485,0.8,4.5,10.8,25.9,4.1,0.464,0.333,0.897,0.268,0.324,0.265,0.532,0.373,0,1118.6,153.4,0,8.8,6228.3,9.3,0,11043.8,0.7,331.9,0,953.3,254.2,304.5,132,128.5,366,,none,,,,,Very High,Medium,High,High,None,High,No,19685.9,13639.7,828,None
297596,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.121,0.113,134.739,135,1190,326226,225,225,115.781,124.85,0,0.2,likely electrified,99,3,1.5,0.984,-0.5,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1293,19.6,1.1,5694,4,69,1359,0.59,"Cwa  Temperate, dry winter, hot summer",1999,83.502,18.848,0,491.3,0.9,4.7,11,26.1,4.3,0.45,0.324,0.895,0.153,0.256,0.201,0.477,0.308,0,841,114.9,0,7.8,621.4,2,0,9053,0.6,159.4,0,450.7,203,252.9,77.9,92.4,257.5,,none,,,,,Very High,Medium,High,High,None,High,No,11128.1,10720,634,None
297600,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.504,0.472,438.001,438,927,272547,506,506,116.393,124.505,0,0.2,likely electrified,99,10,14.077,0.765,-0.6,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1302,19.6,1.1,5694,4,69,1359,0.59,"Cwa  Temperate, dry winter, hot summer",2001,116.96,29.324,0,492.4,0.9,4.6,10.9,26,4.3,0.454,0.327,0.896,0.237,0.303,0.246,0.517,0.353,0.1,6805.2,170,0,49.2,10437.8,10.4,19.1,27146.5,102.3,463.7,0,10569.8,253.7,386.4,145.6,128.6,361.1,,none,,,,,Very High,Medium,High,High,None,High,No,55554.9,45079,963.5,None
297605,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.261,0.244,305.129,305,1248,190530,285,285,117.093,124.012,0,0.2,likely electrified,99,3,3.391,0.982,-0.6,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1310,19.5,1.1,5658,4,69,1359,0.6,"Cwa  Temperate, dry winter, hot summer",2003,254.385,44.401,0,493.8,0.9,4.6,10.9,26,4.3,0.454,0.298,0.694,0.362,0.367,0.294,0.479,0.379,0,5875.1,13.6,0,40.8,5624.6,0,19.1,15873.6,101.6,59,0,9632.5,0,103.5,0.2,0,4,,none,,,,,Very High,Medium,High,High,None,High,No,37185.5,31400.5,144.5,None
300080,Mozambique,TETE,MOATIZE,ZOBUE,Zóbue,Low Density Rural,0.654,0.606,105.843,106,175,11230,502,502,72.334,98.679,0,0.2,likely electrified,99,3,1.183,0.988,-0.2,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,68,328,25.5,1.2,7848,116,66,1153,0.43,"Aw   Tropical, savannah",1990,308.238,23.874,0,392,1.9,2,8.3,23.4,1.4,0.578,0.311,0.152,0.2,0.48,0.347,0.267,0.363,0,437.3,95.8,0,9.3,8835.9,8,0,0,0.6,179.1,0,668.5,263.8,117.6,60.7,87.9,235.5,,none,,,,,Low,Medium,Very High,High,None,High,No,10129.4,1526.2,539.3,None
300456,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.318,0.297,158.201,158,532,98908,216,216,96.734,137.47,0,0.2,likely electrified,99,3,1.757,0.982,-0.7,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1088,20.8,1.2,6132,34,66,953,0.57,"Cwa  Temperate, dry winter, hot summer",2005,215.342,31.824,0,459.8,0.9,4,10.2,25.4,3.3,0.496,0.284,0.411,0.261,0.364,0.262,0.325,0.314,0,695.2,101,0,4.3,8026.1,9.7,0,4714.1,0.6,338.2,0,806,168.9,172.1,88.4,78.6,231.7,,none,,,,,High,Medium,High,High,None,High,No,14589.9,6560.9,512.3,None
300766,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.137,0.128,118.52,118,920,315045,133,133,104.793,130.396,0,0.2,likely electrified,99,3,1.317,0.982,-0.5,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1133,20.4,1.2,5986,26,66,879,0.57,"Cwa  Temperate, dry winter, hot summer",2003,74.98,28.606,0,474.4,0.7,4.3,10.6,25.7,3.7,0.483,0.345,0.898,0.23,0.332,0.269,0.53,0.376,0,695,85.5,0,4.4,4999.5,7.4,0,6601.8,0.4,238.1,0,642.6,133,170,90.3,73.9,219.6,,none,,,,,Very High,High,High,High,None,High,No,13184.8,8244,471.6,None
300834,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.1,0.093,86.25,86,920,319615,151,151,109.901,129.019,0,0.2,likely electrified,99,3,0.962,0.986,-0.2,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1218,20,1.2,5840,26,66,879,0.57,"Cwa  Temperate, dry winter, hot summer",1996,14.342,18.588,0,480.2,0.8,4.7,10.9,26.1,4.1,0.458,0.328,0.896,0.148,0.266,0.209,0.483,0.316,0,255.4,43.4,0,2,3133.3,3.9,0,2635.5,0.2,121.8,0,327.6,69.8,71.2,40.7,36.1,100.1,,none,,,,,Very High,Medium,High,High,None,High,No,6477.7,3369,219.8,None
300843,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.429,0.402,254.554,255,634,326603,553,553,110.55,127.403,0,0.2,likely electrified,99,3,2.839,0.986,-0.4,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1268,19.7,1.1,5730,26,66,879,0.59,"Cwa  Temperate, dry winter, hot summer",1996,70.795,20.413,0,483,0.8,4.5,10.8,25.9,4.1,0.464,0.333,0.897,0.165,0.272,0.214,0.486,0.321,0,636.2,91.1,0,4.3,5908.5,8.2,0,6489.7,0.4,250.9,0,688.1,143,164.7,91.9,77.3,221.6,,none,,,,,Very High,Medium,High,High,None,High,No,13982,8134.4,481.2,None
300875,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.181,0.17,201.26,201,1184,194561,184,184,117.826,124.975,0,0.2,likely electrified,99,3,2.238,0.983,-0.6,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1306,19.6,1.1,5694,4,69,1359,0.59,"Cwa  Temperate, dry winter, hot summer",2003,277.684,31.933,0,493.1,0.9,4.6,10.9,26,4.3,0.454,0.299,0.706,0.264,0.317,0.246,0.441,0.332,0.1,6322.8,107.7,0,44.7,10118,9.3,19.1,22592.4,102,382.7,0,10304.6,142.5,246.6,105.5,77.4,216.7,,none,,,,,Very High,Medium,High,High,None,High,No,49851,39573.7,616.7,None
302178,Mozambique,SOFALA,BUZI,BUZI,Buzi,Low Density Rural,0.254,0.225,46.315,46,204,64938,166,166,14.305,0.014,0,0.3,likely electrified,8,8,0.078,31.498,-0.2,,Coastal Sugarcane and Fishing,0,111,80,24.2,1.2,7373,184,70,845,0.57,"Aw   Tropical, savannah",1934,483.157,0.661,0,58.8,1.1,2.3,2,14.1,1.2,0.706,0.573,0.382,0.022,0.424,0.362,0.266,0.349,1137.9,2440.9,102.2,352.4,4.7,2979,6.7,0,0,524.3,297,29500.2,878.8,174.7,133.6,382,77.1,222.1,,none,,,,,High,Very High,Very High,High,None,High,No,8264.6,5098.1,30272.3,None
303694,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.154,0.144,101.591,102,708,97700,121,121,98.348,139.273,0,0.2,likely electrified,99,3,1.128,0.981,-0.8,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1071,20.9,1.2,6168,34,66,953,0.56,"Cwa  Temperate, dry winter, hot summer",2005,364.18,28.866,0,458.2,0.8,3.9,10.1,25.2,3.2,0.506,0.289,0.408,0.242,0.361,0.257,0.317,0.308,0,349.4,55.4,0,2.1,4580.9,6.5,0,2595.6,0.3,208.1,0,486.5,88.3,85.6,51.8,42.7,126.8,,none,,,,,High,Medium,High,High,None,High,No,8227.3,3620.8,270.5,None
303781,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.367,0.343,261.247,261,760,213736,406,406,100.701,137.396,0,0.2,likely electrified,99,3,2.899,0.981,-0.7,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1043,20.9,1.2,6168,30,66,916,0.57,"Cwa  Temperate, dry winter, hot summer",2007,371.927,23.959,0,462.1,0.7,4,10.3,25.4,3.4,0.5,0.338,0.773,0.203,0.338,0.262,0.469,0.354,0,807.5,106.9,0,5.2,7538.3,9,0,6139.6,0.6,325.3,0,811.7,176.2,199.8,99.2,86.8,257.2,,none,,,,,Very High,Medium,High,High,None,High,No,15632,8130,567.2,None
304075,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.219,0.205,176.019,176,858,321249,286,286,110.109,130.864,0,0.2,likely electrified,99,3,1.962,0.985,-0.4,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,50,1156,20.3,1.2,5950,26,66,879,0.56,"Cwa  Temperate, dry winter, hot summer",1997,47.872,28.191,0,477.8,0.7,4.5,10.8,25.9,3.9,0.472,0.336,0.897,0.226,0.322,0.26,0.526,0.368,0,255.4,43.4,0,2,3133.3,3.9,0,2635.5,0.2,121.8,0,327.6,69.8,71.2,40.7,36.1,100.1,,none,,,,,Very High,Medium,High,High,None,High,No,6477.7,3369,219.8,None
304082,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.096,0.09,82.468,82,914,317263,214,214,110.687,130.148,0,0.2,likely electrified,99,3,0.919,0.985,-0.2,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",1,50,1177,20.2,1.2,5913,26,66,879,0.57,"Cwa  Temperate, dry winter, hot summer",1997,22.122,14.867,0,479.3,0.7,4.6,10.8,25.9,3.9,0.471,0.335,0.897,0.119,0.262,0.202,0.474,0.309,0,255.4,43.4,0,2,3133.3,3.9,0,2635.5,0.2,121.8,0,327.6,69.8,71.2,40.7,36.1,100.1,,none,,,,,Very High,Medium,High,High,None,High,No,6477.7,3369,219.8,None
306366,Mozambique,TETE,MOATIZE,ZOBUE,Zóbue,Very Low Density Rural,0.148,0.137,26.715,27,196,10864,117,117,77.308,100.35,0,0.2,likely electrified,99,3,0.297,0.982,-0.4,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,68,350,25.3,1.2,7774,116,66,1153,0.44,"Aw   Tropical, savannah",2000,888.427,20.673,0,389.9,1.3,1.4,7.6,22.8,0.8,0.634,0.343,0.157,0.195,0.502,0.356,0.263,0.373,0,746,155.3,0,18.1,11606.8,7.8,0,0,1,275.2,0,917.7,446.6,195.4,83.5,148.9,394.5,,none,,,,,Low,High,Very High,High,None,High,No,13554.5,2350.5,892.5,None
307037,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.549,0.513,464.512,464,903,284288,488,488,102.568,138.249,0,0.2,likely electrified,99,8,29.895,0.961,-0.3,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1080,20.7,1.2,6096,26,66,879,0.57,"Cwa  Temperate, dry winter, hot summer",2008,184.439,21.748,0,462,0.6,4,10.3,25.4,3.4,0.503,0.358,0.901,0.179,0.322,0.256,0.514,0.362,0,567,75.9,0,3.6,5242.7,7,0,4621.6,0.4,240.5,0,601.3,121.3,139.5,74.5,62.4,185.6,,none,,,,,Very High,High,High,High,None,High,No,11280.5,6055.1,401.3,None
307058,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.233,0.218,200.26,200,916,291068,396,396,103.482,137.493,0,0.2,likely electrified,99,3,2.221,0.98,-0.4,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1101,20.6,1.2,6059,26,66,879,0.6,"Cwa  Temperate, dry winter, hot summer",2007,74.816,19.464,0,463.6,0.6,4.1,10.3,25.4,3.4,0.5,0.358,0.901,0.157,0.306,0.242,0.502,0.348,0,327,40.3,0,2.2,2384.4,3.4,0,2863.2,0.2,116.7,0,306.4,63.5,80.8,42.3,35,104,,none,,,,,Very High,High,High,High,None,High,No,6001.3,3640.8,223.8,None
307253,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.096,0.09,65.543,66,735,313223,103,103,109.871,133.295,0,0.2,likely electrified,99,3,0.73,0.984,-0.3,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,54,1131,20.4,1.2,5986,26,66,879,0.57,"Cwa  Temperate, dry winter, hot summer",2000,49.9,28.467,0,474.1,0.6,4.4,10.7,25.8,3.8,0.48,0.341,0.897,0.228,0.329,0.266,0.529,0.374,0,348.4,43.6,0,2.2,2563.3,3.9,0,3384.9,0.2,123.5,0,331.4,67.3,85.6,46.7,37.6,111.9,,none,,,,,Very High,High,High,High,None,High,No,6755.6,4220.2,239.4,None
307281,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.172,0.161,124.376,124,768,314269,243,243,112.046,133.784,0,0.2,likely electrified,99,3,1.385,0.984,-0.4,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,50,1172,20.2,1.2,5913,26,66,879,0.57,"Cwa  Temperate, dry winter, hot summer",1999,32.678,26.81,0,475.2,0.6,4.5,10.7,25.8,3.8,0.479,0.34,0.897,0.214,0.317,0.254,0.518,0.361,0,255.4,43.4,0,2,3133.3,3.9,0,2635.5,0.2,121.8,0,327.6,69.8,71.2,40.7,36.1,100.1,,none,,,,,Very High,Medium,High,High,None,High,No,6477.7,3369,219.8,None
307284,Mozambique,TETE,ANGONIA,DOMUE,Dómue,Low Density Rural,0.219,0.205,174.138,174,848,317810,267,267,111.619,132.466,0,0.2,likely electrified,99,3,1.941,0.985,-0.7,,"Tete Highland Mixed Cropping, Tobbaco, and Cotton",0,50,1159,20.3,1.2,5950,26,66,879,0.57,"Cwa  Temperate, dry winter, hot summer",1998,70.685,23.785,0,476.7,0.6,4.5,10.7,25.9,3.9,0.475,0.339,0.897,0.192,0.305,0.244,0.51,0.351,0,255.4,43.4,0,2,3133.3,3.9,0,2635.5,0.2,121.8,0,327.6,69.8,71.2,40.7,36.1,100.1,,none,,,,,Very High,Medium,High,High,None,High,No,6477.7,3369,219.8,None
